Artist,Title
Avril Lavigne,Smile
Boston,More Than a Feeling
Buddy Holly,Peggy Sue
Catherine Zeta-Jones,All That Jazz
Chris Isaak,Wicked Game
Clean Bandit,Rockabye
Def Leppard,Pour Some Sugar On Me
Dizzy,Sunflower
DJ Snake,Let Me Love You
Dolly Parton,Jolene
Elvis,Viva Las Vegas
Evanescence,Lithium
Evynne Hollens,Still Alive
Frankie Valli and the Four Seasons,Big Girls Don t Cry
George Ezra,Shotgun
George Michael,Faith
Gina G,Ooh Aah Just a Little Bit
Good Charlotte,I Just Wanna Live
Hairspray,You Can't Stop the Beat
Hanson,MMMBop
Hawthorne Heights,Ohio Is for Lovers
Hermans Hermits,Theres a Kind of Hush
Jackson Browne,Running on Empty
Johnny Cash,A Boy Named Sue
Joni Mitchell,Big Yellow Taxi
JVNA,Chemicals
Kajagoogoo,Too Shy
Katy Perry,The One That Got Away
Kevin Fowler,Hard Man To Love
Lindsey Buckingham,Go Insane
LOSTPROPHETS,Last Train Home
My Chemical Romance,Welcome To The Black Parade
Nero,Promises
New Found Glory,All Downhill From Here
Niall Horan,Since Were Alone
ODESZA,Late Night
OK Go,Here It Goes Again
Old Dominion,Make It Sweet
Panic! At The Disco,High Hopes
Paramore,That's What You Get
Peter Gabriel,Sledgehammer
Petula Clark,Downtown
Phil Collins,Son of Man
Prince,Little Red Corvette
Puddle Of Mudd,Blurry
Queen,We Will Rock You
Red Hot Chili Peppers,Cant Stop
Righteous Brothers,Youve Lost That Loving Feeling
Roger Miller,King Of The Road
Rupert Holmes,The Piña Colada Song
Sara Bareilles,Brave
Savage Garden,I Want You
Senses Fail,Buried a Lie
Simple Plan,Perfect
Sneaker Pimps,6 Underground
Stevie Nicks,Stand Back
Survivor,I Can't Hold Back
Talking Heads,Once in a Lifetime
The 1975,Guys
The Cars,You Might Think
The Chainsmokers,Closer
The Clash,Rock the Casbah
The Darkness,I Believe In A Thing Called Love
The Doors,People Are Strange
The Four Tops,Walk Away Renee
The Police,Every Little Thing She Does Is Magic
The White Stripes,Seven Nation Army
Tommy Tutone,Jenny
Trisha Yearwood & Kelly Clarkson,Believe Me Baby I Lied
Us3,Cantaloop
Vampire Weekend,This Life
Vengaboys,We like to Party!
Weird Al Yankovic,Word Crimes
Will Smith,Gettin Jiggy Wit It
Yellowcard,Only One
